trial_id,seed,tool_kind,policy,failure_phase,failure_injected,initial_state,expected_final_state,final_state,side_effect_count,duplicate_side_effects,exact_final_state_correct,successful_completion,retries,status_reads,calls,cost
0,1026847926404610461,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
1,1026847926404610461,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
2,1026847926404610461,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
3,1026847926404610461,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
4,1026847926404610461,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
5,1026847926404610461,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
6,1026847926404610461,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
7,1026847926404610461,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
8,1026847926404610461,non_idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
9,1026847926404610461,non_idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
10,1026847926404610461,non_idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
11,1026847926404610461,non_idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
12,2258728696626565719,read_only,no_retry,after_commit,True,0,0,0,0,0,True,False,0,0,1,1
13,2258728696626565719,read_only,blind_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
14,2258728696626565719,read_only,status_before_retry,after_commit,True,0,0,0,0,0,True,True,0,1,2,3
15,2258728696626565719,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
16,2258728696626565719,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
17,2258728696626565719,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
18,2258728696626565719,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
19,2258728696626565719,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
20,2258728696626565719,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
21,2258728696626565719,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
22,2258728696626565719,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
23,2258728696626565719,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
24,945351111358374057,read_only,no_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
25,945351111358374057,read_only,blind_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
26,945351111358374057,read_only,status_before_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
27,945351111358374057,read_only,idempotency_key_retry,none,False,0,0,0,0,0,True,True,0,0,1,1
28,945351111358374057,idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
29,945351111358374057,idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
30,945351111358374057,idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
31,945351111358374057,idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
32,945351111358374057,non_idempotent_mutation,no_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
33,945351111358374057,non_idempotent_mutation,blind_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
34,945351111358374057,non_idempotent_mutation,status_before_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
35,945351111358374057,non_idempotent_mutation,idempotency_key_retry,none,False,0,1,1,1,0,True,True,0,0,1,1
36,6831454145019129197,read_only,no_retry,before_commit,True,0,0,0,0,0,True,False,0,0,1,1
37,6831454145019129197,read_only,blind_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
38,6831454145019129197,read_only,status_before_retry,before_commit,True,0,0,0,0,0,True,True,0,1,2,3
39,6831454145019129197,read_only,idempotency_key_retry,before_commit,True,0,0,0,0,0,True,True,1,0,2,2
40,6831454145019129197,idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
41,6831454145019129197,idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
42,6831454145019129197,idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
43,6831454145019129197,idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
44,6831454145019129197,non_idempotent_mutation,no_retry,before_commit,True,0,1,0,0,0,False,False,0,0,1,1
45,6831454145019129197,non_idempotent_mutation,blind_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
46,6831454145019129197,non_idempotent_mutation,status_before_retry,before_commit,True,0,1,1,1,0,True,True,1,1,3,4
47,6831454145019129197,non_idempotent_mutation,idempotency_key_retry,before_commit,True,0,1,1,1,0,True,True,1,0,2,2
48,5446332115853614978,read_only,no_retry,after_commit,True,0,0,0,0,0,True,False,0,0,1,1
49,5446332115853614978,read_only,blind_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
50,5446332115853614978,read_only,status_before_retry,after_commit,True,0,0,0,0,0,True,True,0,1,2,3
51,5446332115853614978,read_only,idempotency_key_retry,after_commit,True,0,0,0,0,0,True,True,1,0,2,2
52,5446332115853614978,idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
53,5446332115853614978,idempotent_mutation,blind_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
54,5446332115853614978,idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
55,5446332115853614978,idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
56,5446332115853614978,non_idempotent_mutation,no_retry,after_commit,True,0,1,1,1,0,True,False,0,0,1,1
57,5446332115853614978,non_idempotent_mutation,blind_retry,after_commit,True,0,1,2,2,1,False,True,1,0,2,2
58,5446332115853614978,non_idempotent_mutation,status_before_retry,after_commit,True,0,1,1,1,0,True,True,0,1,2,3
59,5446332115853614978,non_idempotent_mutation,idempotency_key_retry,after_commit,True,0,1,1,1,0,True,True,1,0,2,2
